Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,General Government,County Counsel,County Counsel,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-7887823,-7887823
2013,General Government,County Counsel,County Counsel,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,625749,625749
2014,General Government,County Counsel,County Counsel,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,909497,956043
2015,General Government,County Counsel,County Counsel,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,978977,932031
2015,General Government,County Counsel,County Counsel,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1391890,1438836
2014,General Government,County Counsel,County Counsel,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1438836,1438836
2013,General Government,County Counsel,County Counsel,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1463836,1463836
2013,General Government,County Counsel,County Counsel,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10234083,10234083
2014,General Government,County Counsel,County Counsel,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10335158,10335158
2015,General Government,County Counsel,County Counsel,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,11051704,11051704
2014,General Government,Countywide Expense,Countywide Expense,Other Charges,Other Charges,Total of Other Charges,25000,25000
2013,General Government,Countywide Expense,Countywide Expense,Other Charges,Other Charges,Total of Other Charges,25000,25000
2015,General Government,Countywide Expense,Countywide Expense,Other Charges,Other Charges,Total of Other Charges,25000,25000
2013,General Government,Countywide Expense,Countywide Expense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3121663,3121663
2014,General Government,Countywide Expense,Countywide Expense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3140871,3168202
2015,General Government,Countywide Expense,Countywide Expense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3253684,3253684
2015,General Government,Countywide Expense,Countywide Expense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3661041,3774756
2014,General Government,Countywide Expense,Countywide Expense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3775269,3775269
2013,General Government,Countywide Expense,Countywide Expense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3775269,3775269
2015,General Government,General Services Agency,General Services Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1339685,1367750
2013,General Government,General Services Agency,General Services Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1340912,1340912
2014,General Government,General Services Agency,General Services Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1430815,1430815
2013,General Government,General Services Agency,General Services Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3086591,3086591
2015,General Government,General Services Agency,General Services Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3625274,3634470
2014,General Government,General Services Agency,General Services Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4040917,4040917
2013,General Government,General Services Agency,General Services Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9398298,9398298
2014,General Government,General Services Agency,General Services Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9686371,9686371
2015,General Government,General Services Agency,General Services Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10037436,10009371
2014,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-272095,-272095
2015,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-265000,-265000
2013,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-232918,-232918
2013,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-224448,-224448
2014,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-100000,-100000
2015,General Government,General Services Agency,GSA-Parking Facilities,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9000,-9000
2014,General Government,General Services Agency,GSA-Parking Facilities,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9000,-9000
2013,General Government,General Services Agency,GSA-Parking Facilities,Fixed Assets,Fixed Assets,Total of Fixed Assets,26400,26400
2013,General Government,General Services Agency,GSA-Parking Facilities,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,391969,391969
2014,General Government,General Services Agency,GSA-Parking Facilities,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,392338,392338
2015,General Government,General Services Agency,GSA-Parking Facilities,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,406133,406133
2013,General Government,General Services Agency,GSA-Parking Facilities,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,648774,648774
2014,General Government,General Services Agency,GSA-Parking Facilities,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,686567,686567
2015,General Government,General Services Agency,GSA-Parking Facilities,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,726790,727110
2013,General Government,General Services Agency,GSA-Parking Facilities,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,900800,900800
2014,General Government,General Services Agency,GSA-Parking Facilities,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1156100,1156100
2015,General Government,General Services Agency,GSA-Parking Facilities,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1156100,1156100
2014,General Government,General Services Agency,GSA-Veterans Buildings,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9553,9553
2015,General Government,General Services Agency,GSA-Veterans Buildings,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9680,9680
2013,General Government,General Services Agency,GSA-Veterans Buildings,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,12592,12592
2014,General Government,General Services Agency,GSA-Veterans Buildings,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,27800,27800
2015,General Government,General Services Agency,GSA-Veterans Buildings,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,27800,27800
2013,General Government,General Services Agency,GSA-Veterans Buildings,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,34000,34000
2013,General Government,General Services Agency,GSA-Veterans Buildings,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,590313,590313
2015,General Government,General Services Agency,GSA-Veterans Buildings,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,605084,605425
2014,General Government,General Services Agency,GSA-Veterans Buildings,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,629969,629969
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-157664,-157664
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-148678,-123678
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-37664,-37664
2013,General Government,Human Resource Services,Human Resource Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,6000,6000
2015,General Government,Human Resource Services,Human Resource Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,6000,6000
2014,General Government,Human Resource Services,Human Resource Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,6000,6000
2014,General Government,Human Resource Services,Human Resource Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1706507,1700670
2013,General Government,Human Resource Services,Human Resource Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1759169,1774079
2015,General Government,Human Resource Services,Human Resource Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1880185,1855185
2013,General Government,Human Resource Services,Human Resource Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2392228,2392228
2014,General Government,Human Resource Services,Human Resource Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2426108,2432212
2015,General Government,Human Resource Services,Human Resource Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2462708,2492199
2013,General Government,Human Resource Services,Human Resource Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9402016,9387106
2014,General Government,Human Resource Services,Human Resource Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9610033,9615870
2015,General Government,Human Resource Services,Human Resource Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10175842,10175842
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-155744,-155744
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-155744,-155744
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-155744,-155744
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-217899,-217899
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-113548,-113548
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-113548,-113548
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1453312,-1453312
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1092438,-1092438
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1092438,-1092438
2013,General Government,Information Technology Department,CORPUS,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,112141,112141
2014,General Government,Information Technology Department,CORPUS,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,113371,113371
2015,General Government,Information Technology Department,CORPUS,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,119255,119255
2013,General Government,Information Technology Department,CORPUS,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173417,173417
2014,General Government,Information Technology Department,CORPUS,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,186930,186930
2015,General Government,Information Technology Department,CORPUS,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,199552,199552
2014,General Government,Information Technology Department,CORPUS,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2926783,2926783
2013,General Government,Information Technology Department,CORPUS,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2926981,2926981
2015,General Government,Information Technology Department,CORPUS,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3026790,3026861
2015,General Government,Public Works Agency,Building Inspection,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,94402,94402
2014,General Government,Public Works Agency,Building Inspection,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,95359,95359
2013,General Government,Public Works Agency,Building Inspection,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,104129,104129
2013,General Government,Public Works Agency,Building Inspection,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,570268,570268
2014,General Government,Public Works Agency,Building Inspection,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,579038,579038
2015,General Government,Public Works Agency,Building Inspection,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,579995,579995
2013,General Government,Public Works Agency,Building Inspection,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2365584,2365584
2014,General Government,Public Works Agency,Building Inspection,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2365584,2365584
2015,General Government,Public Works Agency,Building Inspection,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2365584,2365584
2015,General Government,Public Works Agency,Public Works Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-20000,-20000
2013,General Government,Public Works Agency,Public Works Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-20000,-20000
2014,General Government,Public Works Agency,Public Works Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-20000,-20000
2014,General Government,Public Works Agency,Public Works Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,262000,262000
2013,General Government,Public Works Agency,Public Works Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,265000,265000
2015,General Government,Public Works Agency,Public Works Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,426464,426464
2013,General Government,Public Works Agency,Public Works Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1241527,1241527
2014,General Government,Public Works Agency,Public Works Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1289527,1289527
2015,General Government,Public Works Agency,Public Works Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1367206,1367206
2013,General Government,Registrar of Voters,Registrar of Voters,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1435052,1435052
2014,General Government,Registrar of Voters,Registrar of Voters,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1445945,1445945
2015,General Government,Registrar of Voters,Registrar of Voters,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1537171,1559029
2013,General Government,Registrar of Voters,Registrar of Voters,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3764838,3764838
2014,General Government,Registrar of Voters,Registrar of Voters,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3799581,3798048
2015,General Government,Registrar of Voters,Registrar of Voters,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3901190,3901190
2014,General Government,Registrar of Voters,Registrar of Voters,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9658847,9660380
2013,General Government,Registrar of Voters,Registrar of Voters,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10593165,10593165
2015,General Government,Registrar of Voters,Registrar of Voters,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,11735722,11735722
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-50000,-50000
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-50000,-50000
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-50000,-50000
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1988707,1988707
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2000583,2000583
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2010294,2010294
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2010790,2010790
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2045355,2046073
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2130222,2133522
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5854477,5854477
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5974891,5974891
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6300504,6186789
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-161781,-161781
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-100000,-100000
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,831206,831206
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1453540,1211950
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,17352164,18093754
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,21332511,21849631
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,34040728,35018906
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,90674988,90674988
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,149638,149638
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,156880,156880
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2025950,2025950
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-3039582,-3039582
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2803675,-1214913
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-960434,-960434
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Fixed Assets,Fixed Assets,Total of Fixed Assets,11750,11750
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Fixed Assets,Fixed Assets,Total of Fixed Assets,11750,11750
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Fixed Assets,Fixed Assets,Total of Fixed Assets,11750,11750
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1283386,1283386
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1971627,1990113
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1983660,1983660
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,3187735,3187735
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,3251490,2273312
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5516354,5519773
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6048153,6048153
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6745386,6740764
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6890957,6710406
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8528635,8034157
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,33906535,32880418
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,108970967,108970967
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2283011,-2283011
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2203190,-2203190
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2073507,-2073507
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,398031,398031
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,412559,412559
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,518775,518775
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1660948,1660948
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1684415,1684415
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1766474,1766474
2015,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,500175,500175
2013,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,592834,592834
2014,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,604496,604496
2014,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2122933,2167933
2013,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2569947,2569947
2015,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2756267,1990456
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1947735,-1947735
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1851136,-1851136
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1729906,-1729906
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-400000,-400000
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,148740,148740
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,400000,400000
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,3553003,3553003
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,3714178,3714178
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8309607,8309607
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9287964,9157301
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9303656,9340567
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Charges,Other Charges,Total of Other Charges,14901693,14901693
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Charges,Other Charges,Total of Other Charges,15539354,15539354
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Charges,Other Charges,Total of Other Charges,16652524,16652524
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,60061714,60155752
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,64571891,63590701
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,70679459,70451974
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,264365299,263340804
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,288151769,287612154
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,292631624,291688043
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-6557390,-6457390
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-5865754,-5865754
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-5628806,-5628806
2014,Health Care Services,Environmental Health,Cooperative Extension,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,6660,6660
2015,Health Care Services,Environmental Health,Cooperative Extension,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,6660,6660
2013,Health Care Services,Environmental Health,Cooperative Extension,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,6660,6660
2015,Health Care Services,Environmental Health,Cooperative Extension,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15000,15000
2013,Health Care Services,Environmental Health,Cooperative Extension,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15000,15000
2014,Health Care Services,Environmental Health,Cooperative Extension,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15000,15000
2014,Health Care Services,Environmental Health,Cooperative Extension,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,101671,101671
2013,Health Care Services,Environmental Health,Cooperative Extension,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,108819,108819
2015,Health Care Services,Environmental Health,Cooperative Extension,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,120143,120247
